city,type,venue,venueId,volume,year
Barcelona,conference,International Symposium on Software Testing and Analysis,289bfdda-eab3-4c9a-97be-ef1e0f9ddfc0,,2023
,journal,Proceedings of the VLDB Endowment,fcbcaf18-8ab1-43e1-a973-604bbc7e344e,16,2023
,journal,Data Intelligence,f80a2e54-1332-48bf-9634-4b2f77fca809,5,2023
Rome,conference,International Symposium on Software Testing and Analysis,289bfdda-eab3-4c9a-97be-ef1e0f9ddfc0,,2022
,journal,Proceedings of the VLDB Endowment,fcbcaf18-8ab1-43e1-a973-604bbc7e344e,15,2022
,journal,Cluster Computing,f1d0ef3d-4e90-41e9-b454-f589a933654f,26,2022
Amsterdam,conference,Symposium on Information and Communication Technology,8f515bf7-e3c7-4242-85e5-14de4c29e76c,,2022
,journal,The Arabian journal for science and engineering,9bc76c9a-64ac-4dd9-902e-80fccca1833f,46,2021
,journal,JMIR mHealth and uHealth,bb899a20-6789-46e4-9ed0-c7c284028fd9,9,2021
,journal,Proceedings of the VLDB Endowment,fcbcaf18-8ab1-43e1-a973-604bbc7e344e,14,2021
,journal,Electronics,ccd8e532-73c6-414f-bc91-271bbb2933e2,N/A,2021
,journal,Applied Sciences,136edf8d-0f88-4c2c-830f-461c6a9b842e,N/A,2021
Amsterdam,conference,Annual Conference on Innovation and Technology in Computer Science Education,e82485bc-2195-4cf5-9f9a-012501918b2f,,2021
Seoul,conference,"Knowledge Science, Engineering and Management",3e22d1e0-9b11-40a4-ac7c-0ebe5825316e,,2020
Tokyo,conference,International Conference on Computational Collective Intelligence,66c268f7-ba60-443f-919d-e2c297910401,,2020
,journal,Journal of Advances in Information Technology,f4784c7b-6592-49eb-a116-7290e0398868,N/A,2020
Montreal,conference,Chinese Control and Decision Conference,2cbf9479-e1fa-4c75-81f6-7103e18156ca,,2020
Seoul,Workshop,Alberto Mendelzon Workshop on Foundations of Data Management,66257d67-2035-4ff6-b62a-4099db02fcde,,2018
Copenhagen,conference,International Conference on Blockchain,f1ab8d75-7f15-4bb4-ad88-e834ec6ed604,,2020
,journal,Applied Geomatics,41c3b19b-0bac-418a-89dc-2fa894c12fef,14,2020
,journal,Data Science and Engineering,7e0547d5-ec21-470f-bdc9-b7615fc83a29,4,2019
San Francisco,conference,ACM Asia Conference on Computer and Communications Security,87fc9c3c-cc7f-42aa-ba71-2700729a6788,,2019
Montreal,Workshop,"IEEE International Symposium on Parallel & Distributed Processing, Workshops and Phd Forum",7ddefda0-174f-499a-9dce-855879dd01b7,,2019
,journal,Proceedings of the VLDB Endowment,fcbcaf18-8ab1-43e1-a973-604bbc7e344e,12,2018
,journal,PLoS ONE,0aed7a40-85f3-4c66-9e1b-c1556c57001b,13,2018
Toronto,conference,International Conference on Network and System Security,71826259-dbc2-44dc-9ffa-abf8abd1514e,,2019
